years,datetime,city,state,shape,duration (seconds),comments,latitude,longitude 
1998,03 July 1998,west palm beach (road house grill),fl,formation,600,I was working at Roadhouse Grill Saturday night&#44 at 6:30 pm my co workers send he so 2 ufo outside at 6:30. Then at 7:30 when I help ta,26.7052778,-80.0366667
1998,03 July 1998,cocoa beach,fl,light,300,Two very bright lights moving across the sky... one slightly lower than the other. Both vanish within a couple of minutes...,28.3197222,-80.6077778
1998,03 July 1998,lake placid,fl,light,180,Two round&#44 yellow&#44 hazy lights. Smaller than full moon. Came toward us from the east. Sky was clear.  Light on left slightly lower alti,27.2927778,-81.3630556
1998,03 July 1998,temple terrace,fl,light,60,Traveling east spotted two white lights 30 degrees elevation. They were strangely foggy in appearance but moved independently.  No craf,28.035,-82.3894444
1998,03 July 1998,lighthouse point,fl,light,20,2 bright white lights with comet like curved fan shaped tails streaming behind&#44 stationary in east sky over ocean&#4445 degrees above hori,26.2752778,-80.0875
1998,03 July 1998,orlando,fl,light,120,We saw 2white lights in the sky about 300 yards apart and 30 feet in diameter. One was close to a cloud&#44 and dissapeared behind the cou,28.5380556,-81.3794444
1998,03 July 1998,sarasota,fl,light,90,Observed 2 lights&#44 one staggered lower and to the right&#44 East of Sarasota&#44 FL.,27.3361111,-82.5308333
1998,03 July 1998,port charlotte,fl,light,180,Observed 2 flickering white lights to the east 4 fingers above horizon moving erracticly.Light on left above right&#44right faded out fist,26.9758333,-82.0908333
1998,03 July 1998,tampa,fl,other,180,On the date and time listed above my girlfriend and I saw two unknown objects over the Tampa Bay area. They were appeared to be trapezo,27.9472222,-82.4586111
1998,03 July 1998,bonita springs (in the east as seen from),fl,other,15,rocket plumes&#44apparently rising into the sky in the east,26.3394444,-81.7788889
1998,03 July 1998,orlando,fl,sphere,120,We observed two sperical objects which were bright white surrounded by a haze which hovered in the eastern sky and then suddenly disapp,28.5380556,-81.3794444
1998,03 July 1998,englewood,fl,sphere,120,Appeared to stay in place one being slightly higher in the sky with tails extending from below and to the east.  First one disipated an,26.9616667,-82.3527778
1998,03 July 1998,malabar,fl,triangle,30,SW 15mph. Boomerang shaped with stroblights rotating 3 or 4 city blocks large,28.0033333,-80.5658333
1998,03 July 1998,tampa,fl,unknown,30,I viewed two bright white-colored objects for about 20-30 seconds just before dusk. The objects then vanished.,27.9472222,-82.4586111
1998,04 July 1998,port salerno,fl,unknown,2,two lights connected to nothing going from the sky to the water.,27.1438889,-80.2008333
1998,06 July 1998,watertown,ny,circle,120,Two lights traveling in sync dissapeared behind the moon.,43.9747222,-75.9111111
1998,06 July 1998,phoenix,az,fireball,2,Bright flickering&#44 lightning like flash&#44 white/yellow glowing sparks&#44 followed by three dull booms after 2-3 minutes,33.4483333,-112.0733333
1998,06 July 1998,cornville,az,fireball,10,Large object&#44 possibly a meteor or space debris flew into view in the southern sky&#44 between Cornville and Phoenix&#44 Az .,34.7177778,-111.9208333
1998,06 July 1998,chesterfield,mo,fireball,300,2 fireballs chasing each other&#44 one runs into another&#44 hear a soft explosion&#44 and it vanishes.,38.6630556,-90.5769444
